mockservice
edp INFO EDP WebServer start, http://192.168.1.103:8830
edp INFO root = [/Users/cgzero/百度云同步盘/htdocs/baidu/imgUploader], listen = [8830] 
edp INFO GET /dep/webuploader/webuploader.js 200 - - 13.331 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.057 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=03a4443862867972e2f7a70474c8b3c1.png&type=image%2Fpng&lastModifiedDate=Sun+Mar+15+2015+01%3A19%3A14+GMT%2B0800+(CST)&size=1678584 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=03a4443862867972e2f7a70474c8b3c1.png&type=image%2Fpng&lastModifiedDate=Sun+Mar+15+2015+01%3A19%3A14+GMT%2B0800+(CST)&size=1678584 200 - - 42.332 ms
edp INFO GET /example/ 200 - - 0.951 ms
edp INFO GET /src/uploader.less 200 - - 10.052 ms
edp INFO GET /example/jquery.js 200 - - 14.938 ms
edp INFO GET /src/main.js 200 - - 2.059 ms
edp INFO GET /src/lib.js 200 - - 2.250 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.706 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.870 ms
edp INFO GET /example/ 200 - - 0.958 ms
edp INFO GET /src/uploader.less 200 - - 13.802 ms
edp INFO GET /example/jquery.js 200 - - 18.923 ms
edp INFO GET /src/main.js 200 - - 2.093 ms
edp INFO GET /src/lib.js 200 - - 1.693 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.532 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.304 ms
edp INFO GET /example/ 200 - - 1.014 ms
edp INFO GET /src/uploader.less 200 - - 17.692 ms
edp INFO GET /example/jquery.js 200 - - 21.590 ms
edp INFO GET /src/main.js 200 - - 2.110 ms
edp INFO GET /src/lib.js 200 - - 1.927 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 10.760 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 2.348 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 126.451 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_2&name=authimg.png&type=image%2Fpng&lastModifiedDate=Sat+May+09+2015+22%3A37%3A04+GMT%2B0800+(CST)&size=196 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_2&name=authimg.png&type=image%2Fpng&lastModifiedDate=Sat+May+09+2015+22%3A37%3A04+GMT%2B0800+(CST)&size=196 200 - - 49.659 ms
edp INFO GET /example/ 200 - - 0.818 ms
edp INFO GET /src/uploader.less 200 - - 20.885 ms
edp INFO GET /example/jquery.js 200 - - 26.141 ms
edp INFO GET /src/main.js 200 - - 2.228 ms
edp INFO GET /src/lib.js 200 - - 1.325 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 10.826 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.834 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 544.877 ms
edp INFO GET /example/ 200 - - 1.492 ms
